venue_xref_id,concept,city,country,start_of_day_offset
ea74268311cfcc47d2b4c38ef08b9dab0117226a9a99a9d89b7513f81fc00bed,FAST_FOOD,Albuquerque,US,00:00:00
e7cec41c46a9706ba1a702b368be5431913b6dc9c9da49352c3f59d177fa7d2e,FAMILY_DINING,Brooklyn,US,00:00:00
e63e79791883b0c4ac71d41eaee727932c13d6a4ec8f78e2f5ae33c1c44b902b,FAST_CASUAL,Windsor,CA,00:00:00
c100388c9328b30b6bdfbea43f113d367ae9d32b03e84b3b9e0d5bf6d9f45fd5,BAR,Burnaby,CA,01:00:00
a819ee7f83f27dd3d7f44515e22aca3c26e6704ddd2a9b7050b77e044b402219,FAMILY_DINING,Tisdale,CA,00:00:00
d5392e9b2bec5d2f44d2c45006adf978ad4b5cc87efae3db98f0f86e4715f219,FAMILY_DINING,CALGARY,CA,00:00:00
9c687ad060c36405ba3a7d55656166ca3f172497670be46bc5448e8e22e06897,CAFE,Edmonton,CA,00:00:00
5d44dc75edad78eee645c2156ed01fda581b443f0e9a679773c0f55dc8166e67,FAMILY_DINING,Windsor,CA,04:00:00
e41ed2e2589c30ab55c6730828a391f39ace76ef065a69d67eb77858b066c67f,FAST_FOOD,Worth Township,US,00:00:00
130bb96077586ec2f51b7f2dd70725526fe2a1717a3eaa8b0992953e7fd819fa,SPORTS_CLUB,Toronto,CA,00:00:00
79cf22060c5a293f42ad2ecdb3e19d054ee82f69d41eba120be60fa4baf01793,FAST_CASUAL,Payson,US,00:00:00
7e26bd47c9f8d9e7700ff1baf26dbc3f25bbee77115aa98a46d77260efecb48a,FAMILY_DINING,Toronto,CA,00:00:00
3dca62ef41328deadee621c08f8b38130903122eaa25a484b748752ade140d99,FAST_CASUAL,Victoria,CA,00:00:00
c657122dcc68f8695766a9d68159f7702075520d111597914090808c04309b5d,FAST_CASUAL,Hereford,US,00:00:00
a7293afb5a59415e54716df364361cfc17cbd298e126163149623036130121f7,CAFE,Brooklyn,US,00:00:00
394af19cfd921ddfd77827952a815b4d4ed5853da5198942abf4f3f22b84c917,CAFE,Ottawa,CA,00:00:00
860d7933b849659cd7f601b6347959d10f303e2a4dc57c1c333396cc9c8608e9,FAST_CASUAL,Surrey,CA,00:00:00
921fd71ad7d24a8f534282353bc33d3955ff382802db637b32db00217890088d,FAMILY_DINING,Cave Creek,US,00:00:00
6ba501a035db17bd76f4379d22146d404a92643f527c961c2e954bf652846385,FAMILY_DINING,Seattle,US,00:00:00
6a4d65d8ac11e9a04fd36823e5cda38c632a3821da3e0ee3089655dc6bc080da,,Caguas,US,00:00:00
671ba23464618969fbfa60c7afe05ce7f979892c1bbe0391f7a224e42e41ab16,BAR,Petty Harbour-Maddox Cove,CA,00:00:00
332b61b57ba7349e0bcfd5cd16be6a4077a8f41aad9935faff34bfa731370ad9,CAFE,Vancouver,CA,05:00:00
a2878993edc6756dfb6d4a016c56feb19ab68f7e88ffd97812d3933d750bec53,FAMILY_DINING,Brook,US,00:00:00
8d3ee6795498316741c942e928c1d7b2d58192f2a7eaff785933e60966f6fd89,FINE_DINING,Fredonia,US,02:00:00
24cd055ce60b795a70dccfb5576218f8749f315ac6d7cff77e4b099cc8cc1bd5,BREWERY,Halton Hills,CA,04:00:00
d350bd910d680b63bb1d3ca6c9d6993cc647c900bc394a3bb4785fb3608e914f,CAFE,Menomonie,US,00:00:00
e164d0bb1434514d5877dc7c727d81ae0175fe1a15bbe7e9f31432e1e88ecf48,FAMILY_DINING,Hialeah,US,17:00:00
8f1c78236187d96f58f102200a70efe5bce6222f40068976aeaffb81592e7405,FAST_CASUAL,Windsor,CA,00:00:00
38339633ae8ea8412203ab37420386dc3645e83ccb2bc96e50b6e8b83ebf6393,FAST_CASUAL,Union City,US,00:00:00
e2f0818ac8aa0501c4f58c79f34215b345e0e7055b9ce06119341089d61fa008,BAR,Omaha,US,11:00:00
8f4e37531bd6b1c8b3c72a25d6d03c20ad4a29afda72dc961bb8011995649fde,FAMILY_DINING,West Albany Township,US,02:00:00
2740c07925c27bc6e0ff7087060e7d822f5530fdc8d99237853500679d621bcb,BAR,Grand Rapids,US,00:00:00
6c4ddbba39d1529689be33c4769223b1194ba2dcb9e20f266d18face3279d00a,FAST_CASUAL,Vancouver,CA,00:00:00
e85b7c375459aaa2a2e45edec7d50f6f966c0b3c103d6d77458155c0a1e52b0d,FAMILY_DINING,La Salle,CA,05:00:00
11eaead6b5bb2097af3adedd0ab0391904fe2f004c01674713a402a301256f54,CAFE,Marion,US,00:00:00
57d1ec857c955b4b5ae8313778fcee23fa638a805ea920e95a70e94d78d84d84,,Niles Township,US,00:00:00
2acfbe28d9d69cf4aa0808dc8b28622f786700bda5cff46c427b8a07cc3bfa9e,BREWERY,Toronto,CA,04:00:00
1111f19207b8f4ffb76fcc6d85ebee648c59e1d855ac08886f5cae099e99fb54,FAMILY_DINING,Burnaby,CA,11:00:00
b6a9ae7ee685365be6b5d45dd1603a05f413ef39c94cbf8170d4f344a1675426,FAST_CASUAL,Ucluelet,CA,00:00:00
58c155bf4cb527fc685ed65c6002235b052a2d1ddac5eaf04c0c70025b16a181,CAFE,Ocean City,US,05:00:00
f3c5b444405e8086f51bdf6f5b75df3a6b6070d7b92c6038c6cf7ed17a223fc5,POP_UP,Columbus,US,00:00:00
0002a1cf14e9c1acaa8255fd6777d916d3aec6bc1f3c8a3d0a3a89a5eba87970,FAST_CASUAL,Ottawa,CA,10:00:00
3b26b048e5d84c63fd58ceccd2ce99f9b7590d91f9c5e0122ba7770b45933582,BAR,Ottawa,CA,06:00:00
c38fcbd1b472f52a1d4687f428f0eb24b9b75c76a6176f68012ee8cccfe95e14,BAR,Barrie,CA,04:00:00
dc6eba56defe26c4ddcd18ab33721c4f84175059edf522dcbee790699fb0dbf2,FAST_FOOD,Bristow,US,00:00:00
bf777d14a723476178fedeee7f7bb9eb7b9ef70b6992f700302631443f0296ec,FINE_DINING,Mississauga,CA,04:00:00
39573c2ecbe22a60fb3d3230213e01f515de878c629d248a0e0598aa411ac64e,CAFE,Porters Lake,CA,00:00:00
725e3238987609ec7af186faac1677b26870ebaba55a06779784915f2544b5fa,FAMILY_DINING,Thousand Oaks,US,00:00:00
8f4c6218a90b9c3fbf7c77d6b0242c3e9a40e907d5453d12c6e17b4f90c84a37,FAST_CASUAL,Rincon,US,00:00:00
7597592e5c03b7edddc71d4f88a880c8426e11681707c5a4f2508cf3b217f0ae,CAFE,Mississauga,CA,00:00:00
d0db72c3f3d4312febb1d0b5cd235220d58377de483b9f14b7a46abb00e0cc53,FAMILY_DINING,Prince George,CA,00:00:00
32a1370d696ca7ad926564d401ab0d3146cfa6ff9a603b12eef29e5a9d0979cc,FAMILY_DINING,Severn,CA,00:00:00
cd6923f889c627450cb6040a7d51b63b082baef28bc82709a659ca66fed7c69c,FAST_CASUAL,McAlester,US,00:00:00
4a2fb4530bc43fb68212bdf17a4df613ae478734f21496e3e50985f172fa2de3,FAST_CASUAL,Ottawa,CA,00:00:00
e77ba24aa6f1e64c723d49593327610fbd9c81e9d31e2d8e88caac7c0653d7fd,BAR,Toronto,CA,06:00:00
6624ca93365d01680c8109e2814f93107490f6d6f61454cf6b5e4e51873e8439,CAFE,Auburn,US,00:00:00
5ea38f5cc135fe4a1c35d02f23cb54d661834250ec5f44122aee758a92d4297a,CAFE,Hamilton,CA,06:00:00
aa615f5000881af1b1a7938c5b24196943286dadc6ef4b07811dbcc57486a5cf,FAMILY_DINING,Easton,US,00:00:00
ef3dd3aa8981b6626ff060397fa9086097152b09f0bb5ee36a0ba537a7309e8a,FINE_DINING,Ottawa,CA,05:00:00
bdb0abeb34f6a4766e12c9ded93934fc01f3620a7059ac94aa65bb3523cef3ee,FAMILY_DINING,Goodfield,US,00:00:00
34a48aa1abcf06ef49564441662b7b913061ef54c67b6bab726f24921f92e3da,BAR,Red Deer,CA,07:00:00
138c4c9a5ae1f9ffc53e24e3083b2514b5d9aa6b12467d60b62c8929816e189f,FAST_CASUAL,St. Catharines,CA,00:00:00
f93c7e70eeb0f8586e37f54f4c8863d16a64fe07932e86d9e082d071a2f2fa6a,FINE_DINING,Richboro,US,00:00:00
45fdd83e6cb82e8ddd8dab256d0d1d2bdfc04a12dc7410cdf1a4ec7c891a4173,BAR,Fairfield,US,02:00:00
8eaf6e19e637b68a48e029500c20e51c499ce566e4fc721b5a425150caca0388,FAMILY_DINING,Burlington,CA,00:00:00
3ce59e84971bc7e65e82559e90b01dbc96e5000411cb2748c35044baf5db753e,FAMILY_DINING,Victoria,CA,00:00:00
d708536983e28ac1e1e611ff6ddfb08934e42c0d6a8be827e15396ce15f7d1c5,BAR,Winnipeg,CA,10:00:00
e1d8ef8bc263b95d600479572787eb10915d9e37857a8b9aef55f952c6c146aa,CAFE,Toronto,CA,00:00:00
d48f7c3bc485ddd6333dc3ba6e65fe38d1887cd79ea41222d74430fbef89c312,FINE_DINING,Sevierville,US,00:00:00
f9b7214ee25dcca034227e1c869d5430dbc5b2a566ca4585bbfd16e8dbfd6b3b,FAMILY_DINING,Orange,US,01:00:00
69d02cbe3eea9cd723afe4632ba1a77fae8c5f51b5bf8e475200377c55cfd2be,FAMILY_DINING,Brewster,US,00:00:00
db50735c50a3ad8069c9940e9be077a833748ce2b124ea2b87ffc646376d8e0b,CAFE,Victoria,CA,00:00:00
3c5a0e6460177d012e070306ba429335066823de1e25aa1ffbd3df7966cacd81,CAFE,Denver,US,04:00:00
0eb6ac40fd0ac74ac2cefa97ce88a8522a9c9845e360cfef396b1e5730dad7d4,BREWERY,Dartmouth,CA,02:00:00
e53af6a024d8d771af7bb136d9a60ecf8ad75523ab2b2e666b38ec3ed759028e,FAMILY_DINING,Metairie,US,00:00:00
5bd5c7d50308bbaa5a5834ee7ebc8baf66659ef1d9a6f57b42a7f2ae945e6b18,FAST_FOOD,Warwick,US,00:00:00
60d4aba953959353c94b704d7a0423859f08379939b7fbfc25885096accc15d5,FAMILY_DINING,New York,US,03:00:00
780c963044467805bb850ba29188427a3428344fdd491604f23f87340933db2f,FAMILY_DINING,"Colorado City,",US,00:00:00
2c5f8c8ace73b43c34440e3abc82b0fe3ece68c7ac02657e335874a8b962215a,FAST_CASUAL,Ocoee,US,00:00:00
dd6499288e8200fb11db3981400db73371a49a97ea543d4cde7675e54eaff030,BAR,Guelph,CA,00:00:00
6b582eb2ecaef3c71313ec0d53e3b9e97f2b68517a57971a0458113e3130ecd9,CAFE,Toronto,CA,00:00:00
abc9f91be5b16b673b527fc797b4ce1504f81ea000d907d867c16655e2a507c7,,New York,US,08:00:00
d36253f2eb051f5fa395b94f7f4d7e08633b80d88e27002c14341e9ab3bb8b45,FAMILY_DINING,Toronto,CA,00:00:00
4b06b0aaa301e1017dfa4da7baaa6ab334f29bcb221164d55332ac91148dca56,,Dartmouth,CA,00:00:00
bf44ffd168cc862c74d0e349a790a4179fee1852cd122cdec0454745b61229c9,FAST_CASUAL,Fayetteville,US,00:00:00
6afc5202235f3b742e6482c94536ab8462f6022054eccb0c6d5630c211c0a7fe,CAFE,Houston,US,00:00:00
866e1c29f4f5f86f27d242f9d0c2a4f456f1bbe29f2ef544ce4c46932b644b93,FAST_CASUAL,Barrie,CA,11:00:00
927584d72b52fea0f7aea1232c87464e52f52dd8ad1171c30f03b5b84d085c17,BAR,Hamilton,CA,09:00:00
862f421256a578a770b1e4cf6de08447f2a6622446e3b9c595aca643939c6eaf,FAST_CASUAL,Murray,US,09:00:00
1dffd68e5364ca2371d1627e59141f261264a7539f81c1746000b7320b5ad65b,BAR,Vancouver,CA,02:00:00
1d7751ba58ff82e365f1b961977f82537011a71d9b13b66a2e77ae08eae4e678,,Charlottetown,CA,00:00:00
3b50a30e79b576bfeb406fce7be10c3d93929d440319bf00b687fa838126bece,FAMILY_DINING,Mississauga,CA,00:00:00
2aedb56ce800a9cfe50cc4159442a2dca3feee8484235b5e00de22187779eb98,FAMILY_DINING,Port Elgin,CA,05:00:00
e2510da2c92e4a5e7fa98eb910065bc09ddf2ff188e40e0cf07bb6674dd9a593,BAR,Charles Town,US,00:00:00
900e70a58f294edb51fad4828becfcb281975cf5b57601175e186ea182667a19,BAR,Sun  Peaks,CA,03:00:00
